domain,category
quantum-capital-partners.com,Unternehmensberatung
weber-gerueste.de,Gerüstbau
ibsm-school.eu,Berufliche Erwachsenenbildung
knop-bauunternehmen.de,Baugewerbe a. n. g.
schmiedgmbh.de,Großhandel mit Werkzeugen und Kleineisenwaren
profiling-company.de,Unternehmensberatung
tierrettung-mittlerer-neckar.de,Interessenvertretungen und Vereinigungen a. n. g.
christian-heckmann.net,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
webnode.page,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
schneider-erdbau.de,Sonstiger Tiefbau a. n. g.
bhl-wohnen.de,Bauträger für Wohngebäude
holzbauschaefer.de,Zimmerei und Ingenieurholzbau
cms-oilcare.de,Großhandel mit chemischen Erzeugnissen
all-logistik.eu,Güterbeförderung im Straßenverkehr
elumatec.com,Beteiligungsgesellschaften
friscoguide.de,Unternehmensberatung
incloud.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
kuehl-kran.de,Vermietung von Baumaschinen und -geräten
bio-solar-haus.de,Ingenieurbüros für bautechnische Gesamtplanung
teamescape.com,Erbringung von sonstigen Dienstleistungen a. n. g.
hotel-amaris.de,Hotels (ohne Hotels garnis)
raimund-hohmann.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
ort-online.net,Werbeagenturen
strandhuette-agentur.de,Werbeagenturen
mode-maeker.de,Einzelhandel mit Bekleidung
tendenza.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
solvimus.de,Sonstige Softwareentwicklung
eigner-noerdlingen.de,Bauträger für Wohngebäude
elektro-k-s.de,Elektroinstallation
zapp-nrw.de,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung u. Ä."
buero-objekt.com,Großhandel mit Büromöbeln
trivit-ag.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
eichner-assekuranz.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
dupontconsulting.de,"Technische, physikalische und chemische Untersuchung"
pusch-halle.de,Elektroinstallation
schotterwerk-schneider.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wagner-industriebedarf.de,"Großhandel mit Rohstoffen, Halb- und Fertigware, ohne ausgeprägten Schwerpunkt"
ics-arztsysteme.de,Sonstige Softwareentwicklung
hup-jugendhilfe-bw.de,Sonstiges Sozialwesen a. n. g.
abc-bruns.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
bodo-wulf.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
haar-id.de,Frisörsalons
ro-we.com,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln"
amf.de,Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen
wmgkopierer.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
mueller-auto.com,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
kingsgym.de,Fitnesszentren
schermuly-reisen.de,Personenbeförderung im Omnibus-Linienfernverkehr
autohaus-franken.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
seeigel.com,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
kammer-varel.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
mdv.de,Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)
ramsay.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
wet-wertstoff.de,Herstellung von sonstigen Kunststoffwaren
lumixdasbuch.de,Fotografie
mea-living.de,Großhandel mit Spielwaren und Musikinstrumenten
stadter-kamin.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
venjakob.de,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
texandmore.de,Einzelhandel mit Bekleidung
mj-dachundfassade.de,Dachdeckerei und Bauspenglerei
bob-ag.de,Ingenieurbüros für bautechnische Gesamtplanung
rsb-schulung.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
lehnen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wollmaerkte.de,Einzelhandel mit Textilien
dvma-gmbh.eu,Herstellung von land- und forstwirtschaftlichen Maschinen
rothchild.de,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
glas-kastert.de,Glasergewerbe
joha.eu,"Einzelhandel mit Anstrichmitteln, Bau- und Heimwerkerbedarf"
esb-nord.de,"Dämmung gegen Kälte, Wärme, Schall und Erschütterung"
osterhof.com,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
schmidt-holzbau.org,Sonstiger Ausbau a. n. g.
artform.de,Mechanik a. n. g.
richter-elektrotechnik.de,Großhandel mit elektronischen Bauteilen und Telekommunikationsgeräten
regiowerk-gmbh.de,Architekturbüros für Hochbau
meyer-grave.de,Bautischlerei und -schlosserei
physiotherapie-thera-human.de,"Massagepraxen, Krankengymnastikpraxen, Praxen von medizinischen Bademeisterinnen und Bademeistern, Hebammen und Entbindungspflegern sowie von verwandten Berufen"
kiesel.net,Garten- und Landschaftsbau
giata.com,Sonstige Softwareentwicklung
stylezandwood.de,Bautischlerei und -schlosserei
selesgmbh.de,Herstellung von technischen Textilien
becker-warburg.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wob24.net,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
realfina.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
solingen-live.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
sk-kaelte.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
spedition-bormann.de,"Vermietung von Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t"
hase-catering.de,Restaurants mit herkömmlicher Bedienung
variotec.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wolz-gmbh.de,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
projx.de,Unternehmensberatung
berger-u-partner.de,Werbeagenturen
vsu-vereinigte-sicherheitsunternehmen.de,Private Wach- und Sicherheitsdienste
justfit-clubs.de,Fitnesszentren
taunus-hausbau.de,Baugewerbe a. n. g.
ebitoptimizer.info,Sonstige Softwareentwicklung
friedrich-gala.de,Garten- und Landschaftsbau
scooter-classicparts.com,"Handel mit Krafträdern, Kraftradteilen und -zubehör Instandhaltung und Reparatur von Krafträdern"
prochem-net.de,"Technische, physikalische und chemische Untersuchung"
heinrichs-gmbh.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
holzlieferant.de,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
bueschel.de,Mechanik a. n. g.
holzbauhaefele.de,Zimmerei und Ingenieurholzbau
richterissimo.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
euresa.de,Werbeagenturen
volmbau.de,Bau von Gebäuden (ohne Fertigteilbau)
loibl-bau.de,Baugewerbe a. n. g.
haustechnik.hamburg,Elektroinstallation
voss-buerotechnik.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
ategris.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
plaindesigns.com,Werbeagenturen
galenpharma.de,Forschung und Entwicklung im Bereich Biotechnologie
greenfeeclub.de,Sportvereine
krone-kirchzarten.de,Hotels (ohne Hotels garnis)
sellwerk-frankfurt.de,Werbeagenturen
kunst-und-natur.de,Museen
hunger-dichtungen.de,Herstellung von Armaturen a. n. g.
avm-rhoen.de,Spedition
hundt-consult.de,Herstellung von Hebezeugen und Fördermitteln
click-solutions.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
mail-marketing-service.de,Werbeagenturen
ergolabs.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
cologne-sportspark.de,Sportvereine
elektroanlagen24.de,Elektroinstallation
statpro.com,"Handel mit Krafträdern, Kraftradteilen und -zubehör Instandhaltung und Reparatur von Krafträdern"
ksd-koethen.de,Betrieb der Sammelkanalisation
esser-feingebaeck.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
mediterran-wine-food.de,Sonstiger Einzelhandel mit Nahrungs- und Genussmitteln
berning-modellbau.de,Mechanik a. n. g.
loeh-gmbh.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
studioline.de,Drucken a. n. g.
mwb.info,Erschließung von unbebauten Grundstücken
brunold.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
biegeform.de,"Herstellung von Press-, Zieh- und Stanzteilen"
baumgroup.de,Unternehmensberatung
brezel-company-berlin.de,Einzelhandel mit Back- und Süßwaren
grote-ing.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
emchundberger.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
cma-soft.de,Sonstige Softwareentwicklung
thiesmedicenter.de,Einzelhandel mit medizinischen und orthopädischen Artikeln
dzillum-gmbh.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
lavita-ristorante.de,Restaurants mit herkömmlicher Bedienung
krankenhaus-lahnstein.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
scheifele.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
go1a.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
monaco-automaten.de,Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.
oco-weber.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t"
uesa.de,Elektrizitätserzeugung mit Fremdbezug zur Verteilung
usracing.one,Unternehmensberatung
it-lotsen.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
oekotop-massivhaus.de,Bau von Gebäuden (ohne Fertigteilbau)
hmw-holding.de,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen"
tsnutzfahrzeuge.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
blue-cap.de,Managementtätigkeiten von Holdinggesellschaften
wandlungswelten.de,"Massagepraxen, Krankengymnastikpraxen, Praxen von medizinischen Bademeisterinnen und Bademeistern, Hebammen und Entbindungspflegern sowie von verwandten Berufen"
msh-nrw.de,Großhandel mit Werkzeugmaschinen
ih-management.com,Sonstige Softwareentwicklung
kluitmann-industrietechnik.de,Großhandel mit sonstigen Maschinen
tiefbau-junggeburth.de,Garten- und Landschaftsbau
markon-haus.de,Bauträger für Wohngebäude
kantine-koenig.de,Tagesbetreuung von Kindern
airealdevelopment.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
gravis.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
atlanticlabs.de,Managementtätigkeiten von Holdinggesellschaften
fennerlabor.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
rely-cc.de,Unternehmensberatung
reichle-bau.de,Garten- und Landschaftsbau
terracur.de,Garten- und Landschaftsbau
gross-stabil.de,Herstellung von sonstigen Möbeln a. n. g.
hmd-software.com,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
rheinvet.de,Großhandel mit pharmazeutischen Erzeugnissen
sanotact-group.de,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen
smart-lamps.de,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
der-seehof.de,Hotels (ohne Hotels garnis)
sohst-grabow.de,Herstellung von Ausbauelementen aus Metall
livonline.de,Allgemeine öffentliche Verwaltung
hausmeister-luebeck.de,Hausmeisterdienste
coloris-gmbh.de,Maler- und Lackierergewerbe
bernhard-gebaeudereinigung.de,Allgemeine Gebäudereinigung
grundstuecksverwaltung-geschwister-miele.de,"Verwaltung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
clevergas.info,Großhandel mit Mineralölerzeugnissen
farben-huessen.de,Herstellung von sonstigen chemischen Erzeugnissen a. n. g.
waldrichsiegen.de,Managementtätigkeiten von Holdinggesellschaften
ador-edelmetalle.de,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf"
decom.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
teladi.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
reichelt-e.de,Elektroinstallation
emmet-software-labs.com,Sonstige Softwareentwicklung
teedeli.de,Restaurants mit herkömmlicher Bedienung
wolkner.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
ods-net.de,"Messe-, Ausstellungs- und Kongressveranstalter"
house-of-flames.com,"Handel mit Krafträdern, Kraftradteilen und -zubehör Instandhaltung und Reparatur von Krafträdern"
dynamic-systems.de,"Herstellung von sonstigen Waren aus Papier, Karton und Pappe"
retaildevelopmentgroup.de,Unternehmensberatung
luisen-muehle.de,Hotels (ohne Hotels garnis)
autohaus-mai.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
alpha-photonics.com,Großhandel mit Foto- und optischen Erzeugnissen
leutz-elektronik.de,Herstellung von sonstigen elektronischen Bauelementen
linie-m.de,Herstellung von Metallkonstruktionen
tc-graffe.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
entsorgung-mg.de,Rückgewinnung sortierter Werkstoffe
hm-pcc.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
elitagmbh.de,Elektroinstallation
wohnbaugeiger.de,Bau von Gebäuden (ohne Fertigteilbau)
michaeliskarree.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
bonzek.de,Werbeagenturen
bes-systemhaus.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
hotel-schwaferts.de,Hotels (ohne Hotels garnis)
gebrauchtwaren-dresden.de,Umzugstransporte
aon.com,Tätigkeit von Versicherungsmaklerinnen und -maklern
kellerskopf.de,Restaurants mit herkömmlicher Bedienung
benefice-cafe.de,Großhandel mit sonstigen Maschinen
earth3000.org,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
dks-koeln.de,Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)
schmieg.org,Einzelhandel mit medizinischen und orthopädischen Artikeln
te-tronik.info,Großhandel mit sonstigen Maschinen
eew-protec.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
siegleundepple.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
glas-ist-mehr.de,Veredlung und Bearbeitung von Flachglas
minova-bau.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
sportsclub-bovenden.de,Fitnesszentren
topclean-gmbh.de,Allgemeine Gebäudereinigung
exxonmobil.de,Erbringung von sonstigen Dienstleistungen a. n. g.
lcngmbh.de,Erbringung von sonstigen Dienstleistungen a. n. g.
breun-schmitt.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
vmt-vision-technology.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
heck-becker.com,Herstellung von sonstigen Werkzeugen
omniscale.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
kron-solingen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
tegeler-gruppe.de,Allgemeine Gebäudereinigung
malermeister-kassel.com,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
sowero-direkt.de,Herstellung von konfektionierten Textilwaren (ohne Bekleidung)
konzept-massivbau.de,Bau von Gebäuden (ohne Fertigteilbau)
wildeshauser-hof.de,Hotels (ohne Hotels garnis)
pfistererfuchs.de,Einzelhandel mit Wohnmöbeln
mk-klassik.de,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen
bestattungsinstitut-hecht.de,Bestattungsinstitute
stadtart.de,Allgemeine öffentliche Verwaltung
auto-knauer-gmbh.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
sps-energie.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
kfv-bickelmann.de,Installation von Maschinen und Ausrüstungen a. n. g.
jungmut.com,Werbeagenturen
ford-siebert-gross-umstadt.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
tila-lachenmaier.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
breco.de,"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen"
gelford.de,Allgemeine Gebäudereinigung
blueskyenergy.de,Elektroinstallation
muenchner-engel.com,Allgemeine Gebäudereinigung
pevs.de,Elektroinstallation
jag-peters.com,Einzelhandel mit Kraftwagenteilen und -zubehör
meier-reisen.de,Personenbeförderung im Omnibus-Linienfernverkehr
immogate.de,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
schmidt-vogt.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
mainterra.de,Bauträger für Wohngebäude
linnebacher-strassenbau.de,Vorbereitende Baustellenarbeiten
knecht.de,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau"
schaedler-gmbh.de,Desinfektion und Schädlingsbekämpfung
machineering.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
betriebs-partner.de,Unternehmensberatung
kahlert-umzuege.de,Spedition
aunovis.de,Sonstige Softwareentwicklung
comdi.de,Buchführung (ohne Datenverarbeitungsdienste)
quantum-acompa.de,Sonstige Softwareentwicklung
bau-schwaiger.de,Bau von Gebäuden (ohne Fertigteilbau)
harzer-uhren.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
tower-electronic.de,Herstellung von sonstigen elektronischen Bauelementen
ws-equestrian.de,Haltung von Pferden und Eseln
argon-lighting.de,Herstellung von elektrischen Lampen und Leuchten
hochbau-service.de,Baugewerbe a. n. g.
pflegedienst-rotkaeppchen.de,Ambulante soziale Dienste
polley-transporte.de,Güterbeförderung im Straßenverkehr
dsg1.de,Werbeagenturen
thuem.de,Einzelhandel mit Uhren und Schmuck
autohaus-weeber.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
hofgut-hagenbach.de,Imbissstuben u.Ä.
holzbau-jens-nickel.de,Zimmerei und Ingenieurholzbau
ms-energie.de,Unternehmensberatung
bodensee.it,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
f-i-w.eu,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
fellow-consulting.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
euro-fashion-center.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
prophylaxe-zahnarzt-vellmar.de,Zahnarztpraxen
nexus-ca.de,Unternehmensberatung
baustoffe-puellen.de,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
mpu-metall.de,Herstellung von sonstigen Werkzeugen
zickenheiner.de,Personenbeförderung im Landverkehr a. n. g.
baywa.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
popp-pelzveredelung.de,Herstellung von Pelzwaren
unid.de,Public-Relations-Beratung
bruehl-stiftung.de,Sonstiges Sozialwesen a. n. g.
netup.de,Werbeagenturen
petroservices.de,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
weber-greissinger.de,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
automatenkaffee.de,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
keppler-holz.de,Großhandel mit Roh- und Schnittholz
brauerei-haeffner.de,Herstellung von Bier
bestattungsfuhrwesen.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
grote-service.com,Einzelhandel mit Geräten der Unterhaltungselektronik
wohnbau-weinmann.de,Bauträger für Wohngebäude
pickitup-project.com,Fotografie
freibott-bausanierung.de,Baugewerbe a. n. g.
mg-transporte.com,Güterbeförderung im Straßenverkehr
dde.de,Zimmerei und Ingenieurholzbau
cux-gs-projekt.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
meese.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
geniesserhotel-altes-gymnasium.de,Hotels (ohne Hotels garnis)
lattermann-ek.de,Abbrucharbeiten
sw-medientechnik.de,Erbringung von Dienstleistungen für die darstellende Kunst
lebenshilfe-aalen.de,Altenheime Alten- und Behindertenwohnheime
teamkonfigurator.de,Sportvereine
krankenhaus-kiel.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
ba-ruhr.de,Berufsbildende weiterführende Schulen
motrixx.de,Erbringung von sonstigen Dienstleistungen des Sports
peikko.de,Herstellung von Schrauben und Nieten
bavarianstrongbikes.de,Großhandel mit Kraftwagenteilen und -zubehör
mezger.de,Einzelhandel mit Kraftwagenteilen und -zubehör
leitungsbau-nord.de,Elektroinstallation
eifeljournal.de,Drucken a. n. g.
der-lokalanzeiger.de,Verlegen von Zeitungen
la-coupe.de,Frisörsalons
egid-muench.com,Großhandel mit Werkzeugmaschinen
boerke-bau.de,Baugewerbe a. n. g.
is-rodersdorf.de,Installation von Maschinen und Ausrüstungen a. n. g.
meduba-websolutions.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
berger-bedachungen.de,Dachdeckerei und Bauspenglerei
helbig-lang.de,Oberflächenveredlung und Wärmebehandlung
prohomine.de,Herstellung von sonstigen Nahrungsmitteln a. n. g.
back-holzbau.de,Bau von Gebäuden (ohne Fertigteilbau)
primusline.com,Herstellung von Hebezeugen und Fördermitteln
ntcgmbh.com,Oberflächenveredlung und Wärmebehandlung
hoergeraete-kersten.de,Einzelhandel mit medizinischen und orthopädischen Artikeln
bh-recycling.de,Sammlung nicht gefährlicher Abfälle
andijamo-fashion.com,Großhandel mit Bekleidung
project-partners.de,Unternehmensberatung
cuba-broadcast.com,Sonstige Softwareentwicklung
blechbearbeitung-online.de,Installation von Maschinen und Ausrüstungen a. n. g.
lift-manager.de,Vermietung von Baumaschinen und -geräten
werkzeugbau-weihrauch.de,Mechanik a. n. g.
nivus.de,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
transporte-brinkmann-gmbh.de,Güterbeförderung im Straßenverkehr
mss-vip.de,Sonstige Softwareentwicklung
plaza-bielefeld.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wohnbau-oberriexingen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
bedachungen-possemeyer.de,Dachdeckerei und Bauspenglerei
energiepartner.de,Elektrizitätsverteilung
andrews-international.de,Vermittlung von Arbeitskräften
immobiliaris.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
dinotec.de,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
poly-licht.de,Herstellung von elektrischen Lampen und Leuchten
baustoffhandel-karsdorf.de,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik, ohne ausgeprägten Schwerpunkt"
enamel-dentallabor.de,Zahntechnische Laboratorien
confair.eu,Beteiligungsgesellschaften
neugebauerit.de,Reparatur von Datenverarbeitungsgeräten und peripheren Geräten
noor.eu,Abfüllen und Verpacken
radioerft.de,Hörfunkveranstalter
telle.de,Herstellung von sonstigen Gummiwaren
scriba-ag.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
stadtbau-dachau.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
trafo-schneider.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
sera-web.com,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
canyon-chorweiler.de,Betrieb von Sportanlagen
spiro.de,Unternehmensberatung
helmich.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
crowdcode.io,Managementtätigkeiten von Holdinggesellschaften
licht.de,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
bgg-gotha.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
wernst-werte.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
fb-lifestyle-group.de,Frisörsalons
deuro-rolladenbau.de,Bautischlerei und -schlosserei
vib-makler.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
hydrauflex.de,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
ltp-oldenburg.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
domus-finanz-versicherungen.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
doric.com,Managementtätigkeiten von Holdinggesellschaften
silcos.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
bauhaus.info,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
h-ortmeier.de,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
weltachs.de,Großhandel mit Getränken
tpd.de,Werbeagenturen
hansabaustahl.de,Herstellung von Ausbauelementen aus Metall
pflegedienst-mertins.de,Ambulante soziale Dienste
stoeckigt-dachtechnik.de,Dachdeckerei und Bauspenglerei
griesotec.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
autohaus-koenig.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
geruest-weber.de,Gerüstbau
adestis.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
holzbau-flack.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
elise.de,Sonstige Softwareentwicklung
kotowski-gmbh.de,Einzelhandel in eigenem Namen mit Motorenkraftstoffen (Freie Tankstellen)
soliq.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
ontorix.de,Sonstige Softwareentwicklung
stroppel-reutlingen.de,Einzelhandel mit Kraftwagenteilen und -zubehör
moebel-banuat.de,Managementtätigkeiten von Holdinggesellschaften
buechter-schieferton.de,"Gewinnung von Kies, Sand, Ton und Kaolin"
silwa.de,Einzelhandel mit bespielten Ton- und Bildträgern
drescher-zelte.de,Vermietung von sonstigen Gebrauchsgütern
magenwirth.com,Managementtätigkeiten von Holdinggesellschaften
jovema.net,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
txtgroup.com,Herstellung von sonstigen elektronischen Bauelementen
bluemler-saw.de,Bau von Straßen
faun.com,Spedition
cineplex.de,Kinos
eckpfeiler.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
asimeto.de,"Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
atarafilm.de,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen"
trafo2.de,Sonstige Softwareentwicklung
zeimke-balingen.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
vigor-feingeraetebau.de,Mechanik a. n. g.
rosendahl-holz.de,Allgemeine öffentliche Verwaltung
modul-projekt.de,Architekturbüros für Hochbau
jakobsberg.de,Hotels (ohne Hotels garnis)
pro-medisoft.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
